 Subj,#,Title,Comp Numb,Sec,Lec Lab,Camp Code,Max Enrollment,Current Enrollment,Start Time,End Time,Days,Bldg,Room,Instructor,Credits
"MATH","124","Linear Algebra","94940","ZRC","LEC","C","1","0","16:00","17:15"," T  R    ","TORREY","203","Golden, Kenneth Ivan","3"
"MATH","151","Groups and Rings","90778","A","LEC","M","30","26","11:45","12:35","M  W  F   ","PERKIN","107","Warrington, Gregory ","3"
"MATH","161","Development of Mathematics","94761","Z1","LEC","C","30","14","16:05","17:20","M  W     ","HILLS","234","Cooke, Roger L.","3"
"MATH","173","Basic Combinatorial Theory","93005","A","LEC","M","23","22","10:00","11:15"," T  R    ","VOTEY","223","Archdeacon, Dan S.","3"
"MATH","193","College Honors","90779","A","H","M","5","0","TBA","","       ","","","Burgmeier, James William","1 to 3"
"MATH","237","Intro to Numerical Analysis","90780","A","LEC","M","35","23","13:00","14:15"," T  R    ","VOTEY","361","Yu, Jun ","3"
"MATH","240","Fourier Series&Integral Trans","93917","A","LEC","M","25","16","10:00","11:15"," T  R    ","TORREY","201","Gross, Kenneth Irwin","3"
"MATH","241","Anyl in Several Real Vars I","90781","A","LEC","M","41","27","11:45","12:35","M  W  F   ","VOTEY","209","Dinitz, Jeffrey Howard","3"
"MATH","241","Anyl in Several Real Vars I","94984","B","LEC","M","20","15","16:30","19:30","  W     ","ONCMP","SEE NOTES","Gross, Kenneth Irwin","3"
"MATH","241","Anyl in Several Real Vars I","94942","ZRA","LEC","C","1","1","11:45","12:35","M  W  F   ","VOTEY","209","Dinitz, Jeffrey Howard","3"
"MATH","251","Abstract Algebra I","90782","A","LEC","M","30","26","13:55","14:45","M  W  F   ","PERKIN","107","Sands, Jonathan W.","3"
"MATH","251","Abstract Algebra I","94983","B","LEC","M","20","16","13:55","14:45","M  W  F   ","VOTEY","369","Welz, Matthew David","3"
"MATH","251","Abstract Algebra I","94943","ZRA","LEC","C","1","1","13:55","14:45","M  W  F   ","PERKIN","107","Sands, Jonathan W.","3"
