 Dept,#,Title,Comp Numb,Sec,Lec Lab,Camp Code,Max Enrollment,Current Enrollment,Start Time,End Time,Days,Bldg,Room,Instructor First,Instructor Last,Credits
PHYS,011,Elementary Physics,91537,A03,REC,M,17,20,11:30,12:45,   R    ,ANGELL,B104,Jason,Pepe,0
PHYS,011,Elementary Physics,91538,A04,REC,M,18,21,13:00,14:15,   R    ,COOK,A402,Jason,Pepe,0
PHYS,011,Elementary Physics,91539,A05,REC,M,19,18,14:30,15:45,   R    ,COOK,A402,Jason,Pepe,0
PHYS,011,Elementary Physics,91541,A06,REC,M,25,26,16:00,17:15,   R    ,COOK,A402,Jason,Pepe,0
PHYS,011,Elementary Physics,91542,A07,REC,M,25,25,17:30,18:45,   R    ,COOK,A402,Jason,Pepe,0
PHYS,011,Elementary Physics,93438,A08,REC,M,24,21,19:00,20:15,   R    ,COOK,A402,Jason,Pepe,0
PHYS,011,Elementary Physics,94639,A09,REC,M,28,21,08:30,09:45,   R    ,ANGELL,B104,Jason,Pepe,0
PHYS,011,Elementary Physics,94121,B,LEC,M,37,28,18:15,19:30,M  W     ,ANGELL,B112,Mohammad,Malghani,4
PHYS,011,Elementary Physics,94122,Z1,LEC,C,14,13,13:55,14:45,M  W  F   ,ANGELL,B106,Jason,Pepe,4
PHYS,011,Elementary Physics,94123,Z2,LEC,C,21,16,18:15,19:30,M  W     ,ANGELL,B112,Mohammad,Malghani,4
PHYS,011,Elementary Physics,94365,Z3,REC,C,8,7,08:30,09:45,   R    ,COOK,A402,.,Staff,0
PHYS,011,Elementary Physics,94367,Z4,REC,C,7,5,10:00,11:15,   R    ,COOK,A402,.,Staff,0
PHYS,011,Elementary Physics,94369,Z5,REC,C,8,8,11:30,12:45,   R    ,ANGELL,B104,.,Staff,0
PHYS,011,Elementary Physics,94371,Z6,REC,C,7,2,13:00,14:15,   R    ,COOK,A402,.,Staff,0
PHYS,011,Elementary Physics,94372,Z7,REC,C,6,6,14:30,15:45,   R    ,COOK,A402,.,Staff,0
PHYS,011,Elementary Physics,94670,Z8,REC,C,1,2,19:00,20:15,   R    ,COOK,A402,.,Staff,0
PHYS,021,Introductory Lab I,91559,A,LAB,M,22,24,08:30,10:25, T      ,COOK,A409,James,Warnock,1
PHYS,021,Introductory Lab I,91560,B,LAB,M,22,20,10:50,12:45, T      ,COOK,A409,James,Warnock,1
PHYS,021,Introductory Lab I,91561,C,LAB,M,17,18,13:00,14:55, T      ,COOK,A409,James,Warnock,1
PHYS,021,Introductory Lab I,91576,D,LAB,M,9,9,15:20,17:15, T      ,COOK,A409,James,Warnock,1
PHYS,021,Introductory Lab I,91578,E,LAB,M,14,18,17:30,19:25, T      ,COOK,A409,James,Warnock,1
PHYS,021,Introductory Lab I,91579,F,LAB,M,17,19,08:30,10:25,  W     ,COOK,A409,James,Warnock,1
PHYS,021,Introductory Lab I,91583,G,LAB,M,17,16,08:30,10:25,   R    ,COOK,A409,James,Warnock,1
PHYS,021,Introductory Lab I,91584,H,LAB,M,22,24,10:50,12:45,   R    ,COOK,A409,James,Warnock,1
PHYS,021,Introductory Lab I,93439,I,LAB,M,22,22,13:00,14:55,   R    ,COOK,A409,James,Warnock,1
PHYS,021,Introductory Lab I,94633,J,LAB,M,22,12,15:20,17:15,   R    ,COOK,A409,James,Warnock,1
PHYS,021,Introductory Lab I,94278,Z1,LAB,C,5,5,13:00,14:55, T      ,COOK,A409,James,Warnock,1
PHYS,021,Introductory Lab I,94279,Z2,LAB,C,13,12,15:20,17:15, T      ,COOK,A409,James,Warnock,1
PHYS,021,Introductory Lab I,94280,Z3,LAB,C,8,6,17:30,19:25, T      ,COOK,A409,James,Warnock,1
PHYS,021,Introductory Lab I,94281,Z4,LAB,C,5,5,08:30,10:25,  W     ,COOK,A409,James,Warnock,1
PHYS,021,Introductory Lab I,94282,Z5,LAB,C,5,4,08:30,10:25,   R    ,COOK,A409,James,Warnock,1
PHYS,051,Fundamentals of Physics I,92736,A,LEC,M,72,60,09:35,10:25,M  W  F   ,ANGELL,B112,Madalina,Furis,4
PHYS,051,Fundamentals of Physics I,94157,A01,LAB,M,24,21,13:55,15:50,M       ,COOK,A409,Madalina,Furis,0
PHYS,051,Fundamentals of Physics I,94160,A02,LAB,M,24,22,13:55,15:50,    F   ,COOK,A409,Madalina,Furis,0
PHYS,051,Fundamentals of Physics I,94549,A03,LAB,M,24,17,16:05,18:00,    F   ,COOK,A409,Madalina,Furis,0
PHYS,095,TAP:Nanoscience&Nanotechnology,93505,A,LEC,M,21,17,10:40,11:30,M  W  F   ,COOK,A402,Randall,Headrick,3
PHYS,123,Physics Problem Solving II,93473,A,LEC,M,200,132,11:30,12:45,   R    ,BLLNGS,LH,Malcolm,Sanders,1
PHYS,125,Physics for Engineers II,93474,A,LEC,M,200,186,12:50,13:40,M  W  F   ,ANGELL,B106,Malcolm,Sanders,3
PHYS,128,Waves and Quanta,93475,A,LEC,M,20,20,09:35,10:25,M  W  F   ,COOK,A402,Dennis,Clougherty,3
PHYS,130,Introductory Laboratory III,93506,A,LAB,M,18,14,08:30,11:15, T      ,COOK,A418,James,Warnock,1
PHYS,196,Contemporary Issues in Physics,93508,A,LEC,M,12,7,16:05,17:20,M  W     ,COOK,A402,Madalina,Furis,1 to 3
PHYS,197,Readings & Research,91624,A,TD,M,12,2,TBA,,       ,COOK,,Kelvin,Chu,1 to 6
PHYS,201,Experimental Physics,91628,A,LAB,M,10,5,15:00,15:50,M  W  F   ,COOK,A429,Jun-Ru,Wu,3
PHYS,213,Electricity & Magnetism,93482,A,LEC,M,16,7,12:50,13:40,M  W  F   ,COOK,A402,Valeri,Kotov,3
PHYS,273,Quantum Mechanics I,91638,A,LEC,M,18,12,13:55,14:45,M  W  F   ,COOK,A402,Kevork,Spartalian,3
PHYS,295,Advanced Special Topics,94681,A,LEC,M,1,1,TBA,,       ,ONCMP,SEE NOTES,Joanna,Rankin,1 to 6
PHYS,296,Electrodynamics,94453,A,LEC,M,10,8,10:40,11:30,M  W  F   ,COOK,A429,Joanna,Rankin,3
PHYS,301,Mathematical Physics,93484,A,LEC,M,12,6,11:30,12:45, T  R    ,COOK,A402,Jun-Ru,Wu,3
PHYS,305,Teaching of College Physics,91639,A,LEC,M,8,4,TBA,,       ,ONCMP,SEE NOTES,James,Warnock,1
PHYS,391,Master's Thesis Research,91644,A,TD,M,5,3,TBA,,       ,COOK,,Dennis,Clougherty,1 to 12
POLS,021,Tap:American Political System,93445,A,SEM,M,22,21,12:50,13:40,M  W  F   ,OLDMIL,523,Eileen,Burgin,3
POLS,021,American Political System,93442,B,LEC,M,108,102,10:40,11:30,M  W  F   ,LAFAYE,L108,Alec,Ewald,3
POLS,021,American Political System,93449,C,LEC,M,108,105,13:55,14:45,M  W  F   ,LAFAYE,L207,Anthony,Gierzynski,3
POLS,021,American Political System,93461,D,LEC,M,160,160,13:00,14:15, T  R    ,WILLMS,301,Garrison,Nelson,3
POLS,021,American Political System,94728,WD,LEC,C,1,1,13:00,14:15,       ,,,,,3
POLS,021,American Political System,93679,Z1,LEC,C,25,23,16:05,19:05,M       ,LAFAYE,L100,Eileen,Burgin,3
POLS,041,Tap:Intro Prob Pol Thought,93459,A,SEM,M,22,22,11:30,12:45, T  R    ,OLDMIL,523,Patrick,Neal,3
POLS,041,Tap:Intro Prob Pol Thought,93465,B,SEM,M,22,21,14:30,15:45, T  R    ,OLDMIL,523,Alex,Zakaras,3
